ID,Material,Rela‡Æo C:N
1,Cama de frango a,6.2
2,Cama de su¡no a,10.9
3,Esterco bovino,11.3
4,Esterco de aves,7
5,Esterco de cavalo,24.3
6,Esterco de codorna,6.9
7,Esterco de galinha 1,9
8,Esterco de galinha industrial,8.9
9,Esterco de su¡no,12
10,Esterco: galinha + codorna,8.8
